"","Div","Club","Tilt"
"1","B1","Anderlecht",1.4
"2","B1","Antwerp",1.3375
"3","B1","Cercle Brugge",1.3
"4","B1","Charleroi",1.23611111111111
"5","B1","Club Brugge",1.475
"6","B1","Eupen",1.31944444444444
"7","B1","Genk",1.31666666666667
"8","B1","Gent",1.57738095238095
"9","B1","Kortrijk",1.33333333333333
"10","B1","Mechelen",1.3875
"11","B1","Oud-Heverlee Leuven",1.3125
"12","B1","RWD Molenbeek",1.59722222222222
"13","B1","St Truiden",1.375
"14","B1","St. Gilloise",1.5375
"15","B1","Standard",1.37434210526316
"16","B1","Westerlo",1.64144736842105
"17","D1","Augsburg",1.61764705882353
"18","D1","Bayern Munich",2.04411764705882
"19","D1","Bochum",1.70588235294118
"20","D1","Darmstadt",1.70588235294118
"21","D1","Dortmund",1.63235294117647
"22","D1","Ein Frankfurt",1.48529411764706
"23","D1","FC Koln",1.29411764705882
"24","D1","Freiburg",1.51470588235294
"25","D1","Heidenheim",1.54411764705882
"26","D1","Hoffenheim",1.94117647058824
"27","D1","Leverkusen",1.66176470588235
"28","D1","M'gladbach",1.80882352941176
"29","D1","Mainz",1.32352941176471
"30","D1","RB Leipzig",1.70588235294118
"31","D1","Stuttgart",1.72058823529412
"32","D1","Union Berlin",1.33823529411765
"33","D1","Werder Bremen",1.5
"34","D1","Wolfsburg",1.42647058823529
"35","E0","Arsenal",1.57894736842105
"36","E0","Aston Villa",1.80263157894737
"37","E0","Bournemouth",1.59210526315789
"38","E0","Brentford",1.59210526315789
"39","E0","Brighton",1.53947368421053
"40","E0","Burnley",1.56578947368421
"41","E0","Chelsea",1.84210526315789
"42","E0","Crystal Palace",1.51315789473684
"43","E0","Everton",1.19736842105263
"44","E0","Fulham",1.52631578947368
"45","E0","Liverpool",1.67105263157895
"46","E0","Luton",1.80263157894737
"47","E0","Man City",1.71052631578947
"48","E0","Man United",1.51315789473684
"49","E0","Newcastle",1.93421052631579
"50","E0","Nott'm Forest",1.52631578947368
"51","E0","Sheffield United",1.82894736842105
"52","E0","Tottenham",1.77631578947368
"53","E0","West Ham",1.76315789473684
"54","E0","Wolves",1.51315789473684
"55","G1","AEK",1.59722222222222
"56","G1","Aris",1.31944444444444
"57","G1","Asteras Tripolis",1.43566176470588
"58","G1","Atromitos",1.34926470588235
"59","G1","Giannina",1.42922794117647
"60","G1","Kifisia",1.55882352941176
"61","G1","Lamia",1.69444444444444
"62","G1","OFI Crete",1.30514705882353
"63","G1","Olympiakos",1.58333333333333
"64","G1","PAOK",1.68055555555556
"65","G1","Panathinaikos",1.65277777777778
"66","G1","Panetolikos",1.28860294117647
"67","G1","Panserraikos",1.36580882352941
"68","G1","Volos NFC",1.38694852941176
"69","I1","Atalanta",1.5
"70","I1","Bologna",1.13157894736842
"71","I1","Cagliari",1.44736842105263
"72","I1","Empoli",1.09210526315789
"73","I1","Fiorentina",1.40789473684211
"74","I1","Frosinone",1.48684210526316
"75","I1","Genoa",1.18421052631579
"76","I1","Inter",1.46052631578947
"77","I1","Juventus",1.11842105263158
"78","I1","Lazio",1.15789473684211
"79","I1","Lecce",1.13157894736842
"80","I1","Milan",1.64473684210526
"81","I1","Monza",1.18421052631579
"82","I1","Napoli",1.35526315789474
"83","I1","Roma",1.46052631578947
"84","I1","Salernitana",1.48684210526316
"85","I1","Sassuolo",1.55263157894737
"86","I1","Torino",0.947368421052632
"87","I1","Udinese",1.18421052631579
"88","I1","Verona",1.17105263157895
"89","N1","AZ Alkmaar",1.60294117647059
"90","N1","Ajax",1.98529411764706
"91","N1","Almere City",1.35294117647059
"92","N1","Excelsior",1.80882352941176
"93","N1","Feyenoord",1.73529411764706
"94","N1","For Sittard",1.36764705882353
"95","N1","Go Ahead Eagles",1.36764705882353
"96","N1","Heerenveen",1.80882352941176
"97","N1","Heracles",1.69117647058824
"98","N1","Nijmegen",1.75
"99","N1","PSV Eindhoven",1.94117647058824
"100","N1","Sparta Rotterdam",1.45588235294118
"101","N1","Twente",1.54411764705882
"102","N1","Utrecht",1.41176470588235
"103","N1","Vitesse",1.52941176470588
"104","N1","Volendam",1.79411764705882
"105","N1","Waalwijk",1.38235294117647
"106","N1","Zwolle",1.64705882352941
"107","P1","Arouca",1.52941176470588
"108","P1","Benfica",1.54411764705882
"109","P1","Boavista",1.48529411764706
"110","P1","Casa Pia",1.29411764705882
"111","P1","Chaves",1.51470588235294
"112","P1","Estoril",1.57352941176471
"113","P1","Estrela",1.26470588235294
"114","P1","Famalicao",1.14705882352941
"115","P1","Farense",1.42647058823529
"116","P1","Gil Vicente",1.38235294117647
"117","P1","Guimaraes",1.32352941176471
"118","P1","Moreirense",1.04411764705882
"119","P1","Portimonense",1.63235294117647
"120","P1","Porto",1.32352941176471
"121","P1","Rio Ave",1.19117647058824
"122","P1","Sp Braga",1.77941176470588
"123","P1","Sp Lisbon",1.83823529411765
"124","P1","Vizela",1.5
"125","SC0","Aberdeen",1.31578947368421
"126","SC0","Celtic",1.64473684210526
"127","SC0","Dundee",1.53947368421053
"128","SC0","Hearts",1.26315789473684
"129","SC0","Hibernian",1.46052631578947
"130","SC0","Kilmarnock",1.18421052631579
"131","SC0","Livingston",1.30263157894737
"132","SC0","Motherwell",1.51315789473684
"133","SC0","Rangers",1.56578947368421
"134","SC0","Ross County",1.38157894736842
"135","SC0","St Johnstone",1.09210526315789
"136","SC0","St Mirren",1.28947368421053
"137","SP1","Alaves",1.07894736842105
"138","SP1","Almeria",1.55263157894737
"139","SP1","Ath Bilbao",1.28947368421053
"140","SP1","Ath Madrid",1.48684210526316
"141","SP1","Barcelona",1.61842105263158
"142","SP1","Betis",1.22368421052632
"143","SP1","Cadiz",1.06578947368421
"144","SP1","Celta",1.35526315789474
"145","SP1","Getafe",1.26315789473684
"146","SP1","Girona",1.72368421052632
"147","SP1","Granada",1.53947368421053
"148","SP1","Las Palmas",1.05263157894737
"149","SP1","Mallorca",1.01315789473684
"150","SP1","Osasuna",1.32894736842105
"151","SP1","Real Madrid",1.48684210526316
"152","SP1","Sevilla",1.34210526315789
"153","SP1","Sociedad",1.18421052631579
"154","SP1","Valencia",1.11842105263158
"155","SP1","Vallecano",1.01315789473684
"156","SP1","Villarreal",1.71052631578947
"157","T1","Ad. Demirspor",1.51315789473684
"158","T1","Alanyaspor",1.35526315789474
"159","T1","Ankaragucu",1.28947368421053
"160","T1","Antalyaspor",1.22368421052632
"161","T1","Besiktas",1.30263157894737
"162","T1","Buyuksehyr",1.31578947368421
"163","T1","Fenerbahce",1.71052631578947
"164","T1","Galatasaray",1.55263157894737
"165","T1","Gaziantep",1.40789473684211
"166","T1","Hatayspor",1.27631578947368
"167","T1","Istanbulspor",1.40789473684211
"168","T1","Karagumruk",1.32894736842105
"169","T1","Kasimpasa",1.67105263157895
"170","T1","Kayserispor",1.32894736842105
"171","T1","Konyaspor",1.22368421052632
"172","T1","Pendikspor",1.51315789473684
"173","T1","Rizespor",1.39473684210526
"174","T1","Samsunspor",1.23684210526316
"175","T1","Sivasspor",1.32894736842105
"176","T1","Trabzonspor",1.56578947368421
